id,value
id_0,26.336747
id_1,66.660634
id_2,19.526634
id_3,29.782271
id_4,9.907163
id_5,34.992607
id_6,41.804645
id_7,18.301691
id_8,50.096157
id_9,33.004586
id_10,38.946864
id_11,58.803957
id_12,35.458339
id_13,42.332892
id_14,26.646404
id_15,12.819598
id_16,53.225372
id_17,24.189315
id_18,20.342072
id_19,16.178171
id_20,15.141577
id_21,32.820410
id_22,39.288034
id_23,13.356973
id_24,61.401722
id_25,46.108901
id_26,28.944336
id_27,7.385964
id_28,27.517522
id_29,37.392645
id_30,18.080889
id_31,11.833233
id_32,16.358125
id_33,9.211916
id_34,16.449845
id_35,42.065681
id_36,18.440634
id_37,27.532838
id_38,8.735745
id_39,60.402547
id_40,47.239021
id_41,18.896013
id_42,52.799208
id_43,19.195611
id_44,45.380087
id_45,50.011736
id_46,57.073632
id_47,41.129238
id_48,56.250760
id_49,38.914376
id_50,29.493366
id_51,23.313075
id_52,39.094108
id_53,23.522762
id_54,36.785552
id_55,40.695914
id_56,24.529887
id_57,22.036579
id_58,35.335690
id_59,31.411923
id_60,13.833677
id_61,19.348431
id_62,30.934976
id_63,53.111007
id_64,49.446953
id_65,26.284411
id_66,39.953891
id_67,50.790582
id_68,27.598924
id_69,38.389675
id_70,65.477607
id_71,56.514454
id_72,41.391266
id_73,13.001085
id_74,14.074158
id_75,35.797572
id_76,62.643471
id_77,1.861295
id_78,42.479322
id_79,40.561215
id_80,9.280646
id_81,22.572378
id_82,6.592124
id_83,29.558260
id_84,9.619435
id_85,7.106313
id_86,16.192898
id_87,11.656807
id_88,20.237012
id_89,26.973316
id_90,35.834207
id_91,13.134252
id_92,11.220128
id_93,9.544478
id_94,37.354540
id_95,16.034890
id_96,15.878937
id_97,10.329882
id_98,10.989840
id_99,6.198121
id_100,10.778685
id_101,17.523172
id_102,11.750255
id_103,9.232235
id_104,11.776150
id_105,36.889591
id_106,26.000716
id_107,7.769175
id_108,16.179433
id_109,15.397872
id_110,13.146555
id_111,16.042618
id_112,15.224750
id_113,26.601017
id_114,17.598367
id_115,17.558974
id_116,4.360996
id_117,45.055692
id_118,25.906898
id_119,2.046938
id_120,0.000000
id_121,8.873719
id_122,11.991323
id_123,12.742834
id_124,8.942832
id_125,24.576112
id_126,20.396028
id_127,8.969212
id_128,20.731940
id_129,13.806206
id_130,0.000000
id_131,33.603269
id_132,15.286650
id_133,17.345346
id_134,25.574906
id_135,22.933398
id_136,9.055331
id_137,22.682283
id_138,79.887318
id_139,60.087581
id_140,27.217178
id_141,19.049456
id_142,24.565690
id_143,7.337533
id_144,11.217557
id_145,11.394376
id_146,19.752204
id_147,7.852354
id_148,11.586810
id_149,15.633297
id_150,46.411452
id_151,21.650522
id_152,22.780819
id_153,14.337321
id_154,13.210113
id_155,23.682940
id_156,23.158115
id_157,38.088559
id_158,4.956388
id_159,23.184402
id_160,43.573727
id_161,18.958579
id_162,65.764473
id_163,16.828974
id_164,34.873480
id_165,23.283348
id_166,24.326493
id_167,0.765892
id_168,67.864396
id_169,16.036426
id_170,15.552239
id_171,71.210782
id_172,22.437952
id_173,1.713318
id_174,22.260092
id_175,1.925142
id_176,7.466825
id_177,19.558701
id_178,19.089839
id_179,25.191535
id_180,44.436113
id_181,33.050795
id_182,28.511997
id_183,11.960674
id_184,6.711919
id_185,41.235870
id_186,35.769374
id_187,36.231449
id_188,16.874145
id_189,22.793001
id_190,15.304583
id_191,15.308983
id_192,30.806124
id_193,73.755189
id_194,27.060401
id_195,11.025675
id_196,61.021436
id_197,15.605586
id_198,19.934755
id_199,21.627787
id_200,136.101606
id_201,23.648414
id_202,59.230243
id_203,6.062214
id_204,60.685220
id_205,38.702855
id_206,15.551067
id_207,13.445344
id_208,65.123011
id_209,13.773552
id_210,39.085930
id_211,72.397802
id_212,17.872732
id_213,109.930380
id_214,43.861102
id_215,79.265558
id_216,96.315829
id_217,76.293106
id_218,29.136982
id_219,19.882252
id_220,32.673415
id_221,55.176419
id_222,28.790517
id_223,38.148872
id_224,43.619513
id_225,11.289888
id_226,4.725339
id_227,84.138364
id_228,31.451261
id_229,0.822706
id_230,39.578350
id_231,17.596841
id_232,21.146393
id_233,9.158277
id_234,13.601134
id_235,25.298805
id_236,14.271977
id_237,5.779441
id_238,22.218403
id_239,10.257897
